graph_class,n,p,seeds_used,delta_auc_mean,delta_auc_std,win_rate
er,8,0.2,3,0.10805443566293547,0.06543795193356057,1.0
er,8,0.35,3,0.1455829576239851,0.18691012082840053,0.6666666666666666
er,8,0.5,3,-0.00953713381771859,0.06507874693892554,0.6666666666666666
er,8,0.65,3,0.06338800725855982,0.07953510140980537,0.6666666666666666
er,10,0.2,3,0.06777409501790632,0.05933327332457968,1.0
er,10,0.35,3,0.0709697380482714,0.05620666716961598,1.0
er,10,0.5,3,0.011612061305966962,0.016298713276538288,0.6666666666666666
er,10,0.65,3,0.01687697511070141,0.014941601520054228,1.0
er,12,0.2,3,0.10648895393169851,0.016248588276763405,1.0
er,12,0.35,3,0.026464405746324027,0.044351833122915456,0.6666666666666666
er,12,0.5,3,0.0284584832630016,0.01348317724185897,1.0
er,12,0.65,3,0.040324541718394315,0.023611097875049513,1.0
er,14,0.2,3,0.0278055605038936,0.007390234978102585,1.0
er,14,0.35,3,0.03301237114597633,0.014515055331361333,1.0
er,14,0.5,3,0.023779312991841366,0.02417111406321452,1.0
er,14,0.65,3,0.026503727812956106,0.005615647690556055,1.0
ring,8,0.2,3,0.05687073968239006,0.054859579375224996,1.0
ring,8,0.35,3,0.09071470617128922,0.10379556261372144,1.0
ring,8,0.5,3,0.017915252145344507,0.04326535024455546,0.6666666666666666
ring,8,0.65,3,0.061320457782866135,0.02054159983351898,1.0
ring,10,0.2,3,0.047675674092363916,0.02587567479547595,1.0
ring,10,0.35,3,0.03277276677783555,0.03096622083193941,0.6666666666666666
ring,10,0.5,3,0.0208203116448209,0.03390447409727285,0.6666666666666666
ring,10,0.65,3,0.03165150395778952,0.021073201537350386,1.0
ring,12,0.2,3,0.036222966009050284,0.06232738455928258,0.6666666666666666
ring,12,0.35,3,0.05644293277343082,0.045284573769965135,1.0
ring,12,0.5,3,0.015523349807973244,0.03558433753141553,0.6666666666666666
ring,12,0.65,3,0.009617735838264677,0.03786486334685578,0.3333333333333333
ring,14,0.2,3,0.046475760689364765,0.03483647185608972,1.0
ring,14,0.35,3,0.04023686126532363,0.035731356625831184,1.0
ring,14,0.5,3,0.008473366530515891,0.015885008288102197,0.6666666666666666
ring,14,0.65,3,0.007211050764870867,0.029160787250165958,0.6666666666666666
ws,8,0.2,3,0.08063557458939678,0.047117124620604176,1.0
ws,8,0.35,3,0.11659809034545159,0.045885792259665034,1.0
ws,8,0.5,3,0.08688690977826863,0.02123565135089883,1.0
ws,8,0.65,3,0.04872868663004951,0.02621081877600061,1.0
ws,10,0.2,3,0.064049217013557,0.03513901830544619,1.0
ws,10,0.35,3,0.07160484863268164,0.020461608134770225,1.0
ws,10,0.5,3,0.003180407137432691,0.033033764750787876,0.3333333333333333
ws,10,0.65,3,0.04142316842699826,0.04129706548592454,1.0
ws,12,0.2,3,0.07843276902958214,0.05139918270730671,1.0
ws,12,0.35,3,0.032507093974290746,0.055257981607156954,0.6666666666666666
ws,12,0.5,3,0.02541372472461567,0.04514231295668884,0.6666666666666666
ws,12,0.65,3,0.012667761776565367,0.009100532008789835,1.0
ws,14,0.2,3,0.014029439060210369,0.04705620770524117,0.6666666666666666
ws,14,0.35,3,0.014992613007766886,0.010759992049787857,1.0
ws,14,0.5,3,0.032113725451309416,0.021634963460036412,1.0
ws,14,0.65,3,0.01630784215417828,0.03949634384815671,0.6666666666666666
ba,8,0.2,3,0.08582031167732984,0.062330767927689476,1.0
ba,8,0.35,3,0.03543283831250769,0.05039103534560148,0.6666666666666666
ba,8,0.5,3,0.09620539467844931,0.13604935048784195,0.6666666666666666
ba,8,0.65,3,0.04903242583859846,0.06584786837266346,0.6666666666666666
ba,10,0.2,3,0.11087552234476446,0.06098427700403549,1.0
ba,10,0.35,3,0.013890461162184767,0.09078678380807816,0.6666666666666666
ba,10,0.5,3,-0.02340908080339717,0.05738878688295492,0.3333333333333333
ba,10,0.65,3,0.023721055638410427,0.03108967583504535,0.6666666666666666
ba,12,0.2,3,0.026643777896857308,0.04332335082611149,0.6666666666666666
ba,12,0.35,3,0.024894416056035668,0.049364115060097545,0.6666666666666666
ba,12,0.5,3,0.015189953045274965,0.030450654785721388,0.6666666666666666
ba,12,0.65,3,0.02488053458623189,0.02903411492383327,0.6666666666666666
ba,14,0.2,3,0.07650546533602946,0.07131779854428436,0.6666666666666666
ba,14,0.35,3,0.02041191532011229,0.014213008533996832,1.0
ba,14,0.5,3,0.027877314447206942,0.01624010863299966,1.0
ba,14,0.65,3,0.004530236365717255,0.012172510193845215,0.6666666666666666
